Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[2003, 2009]	долгий	Q4164597	Долгое	P131	административно-территориальная единица	Акатовское сельское поселение	0	0	2004-12-02	0	0
[2003, 2009]	долгий	Q21669093	Долгое	P131	административно-территориальная единица	Сельское поселение «Село Ульяново»	0	0	2004-10-04	0	0
[2003, 2009]	долгий	Q21669093	Долгое	P131	административно-территориальная единица	Ульяновский район	0	0	1929-10-01	2004-10-03	0
[2003, 2009]	долгий	Q29627342	Долгое	P131	административно-территориальная единица	Долговское сельское поселение	0	0	2005-11-11	0	0
[1970, 1976]	дружба	Q4168693	Дружба	P571	дата основания/создания/возникновения	0	0	1970-01-01	0	0	0
[2005, 2007]	дружба	Q4168698	Дружба	P131	административно-территориальная единица	Большежуковское сельское поселение	0	0	2005-01-01	0	0
[2005, 2007]	дружба	Q4179278	Жемчужина	P576	дата прекращения существования	0	0	2005-01-01	0	0	0
[1978, 1991]	домой	Q4165950	Домой!	P577	дата публикации	0	0	1982-01-01	0	0	0
[1964, 1970]	далекий	Q1768716	Далеки	P582	дата окончания	0	0	1964-02-01	0	0	0
[1964, 1970]	далекий	Q1768716	Далеки	P1191	первое исполнение	0	0	1964-02-01	0	0	0
[2005, 2007]	дата	Q30896971	Даты	P577	дата публикации	0	0	2005-01-01	0	0	0
[1984, 2000]	дворец	Q4156055	Дворцов, Николай Григорьевич	P570	дата смерти	0	0	1985-01-25	0	0	0
[2006, 2007]	дворец	Q483493	Дворец	P580	дата начала	0	0	2006-01-11	0	0	0
[2006, 2007]	дворец	Q483493	Дворец	P582	дата окончания	0	0	2006-03-30	0	0	0
1941	дворец	Q18415615	Дворец	P131	административно-территориальная единица	Верховичский сельсовет	0	0	1940-01-01	0	0
[2006, 2007]	дворец	Q15362995	Дворец	P131	административно-территориальная единица	Озерницкое сельское поселение	0	0	2006-01-01	0	0
1929	дождь	Q1057777	Дождь	P577	дата публикации	0	0	1929-12-14	0	0	0
1930	двойной	Q4155826	Двойное	P571	дата основания/создания/возникновения	0	0	1928-01-01	0	0	0
[1979, 2002]	девочка	Q16642331	Девочки	P571	дата основания/создания/возникновения	0	0	1999-01-01	0	0	0
[1980, 1982]	достоевский	Q1046852	(3453) Достоевский	P575	дата открытия	0	0	1981-09-27	0	0	0
1935	доза	Q485221	Доз	P571	дата основания/создания/возникновения	0	0	1885-01-01	0	0	0
[1986, 1997]	дикий	Q9176165	Богдан-Иван Кордюк	P570	дата смерти	0	0	1988-02-26	0	0	0
[1986, 1997]	дикий	Q82729	Дерзкие и красивые	P577	дата публикации	0	0	1987-01-01	0	0	0
[1986, 1997]	дикий	Q82729	Дерзкие и красивые	P166	полученные награды	Zilveren Televizier-Tulp	0	0	0	0	1993-01-01
[1986, 1997]	дикий	Q82729	Дерзкие и красивые	P580	дата начала	0	0	1987-03-23	0	0	0
[1995, 2001]	драма	Q94418	карабахский драм	P580	дата начала	0	0	1998-01-01	0	0	0
[2004, 2009]	дед	Q2735060	Адериту Валдемар Алвиш ди Карвалью	P54	член спортивной команды	Пасуш де Феррейра	0	0	2007-01-01	2009-01-01	0
[2004, 2009]	дед	Q21335938	Дедов	P131	административно-территориальная единица	Мишковское сельское поселение	0	0	2005-03-09	0	0
[2004, 2009]	дед	Q21335938	Дедов	P131	административно-территориальная единица	Стародубский район	0	0	1929-10-01	2005-03-08	0
[1980, 1986]	дед	Q2735060	Адериту Валдемар Алвиш ди Карвалью	P569	дата рождения	0	0	1981-07-04	0	0	0
[2004, 2009]	дед	Q2735060	Адериту Валдемар Алвиш ди Карвалью	P54	член спортивной команды	C.D. Portosantense	0	0	2005-01-01	2006-01-01	0
[2004, 2009]	дед	Q58762	Леонардо Деде	P54	член спортивной команды	сборная Бразилии по футболу	0	0	2004-01-01	2004-01-01	0
1923	дед	Q17434954	Рене Депардье	P569	дата рождения	0	0	1923-01-01	0	0	0
[2004, 2009]	дед	Q2735060	Адериту Валдемар Алвиш ди Карвалью	P54	член спортивной команды	O Elvas C.A.D.	0	0	2003-01-01	2005-01-01	0
[2004, 2009]	дед	Q2735060	Адериту Валдемар Алвиш ди Карвалью	P54	член спортивной команды	Трофенси (футбольный клуб)	0	0	2006-01-01	2007-01-01	0
[2004, 2009]	дед	Q2735060	Адериту Валдемар Алвиш ди Карвалью	P54	член спортивной команды	Сборная Анголы по футболу	0	0	2007-01-01	0	0
[1995, 1998]	дед	Q58762	Леонардо Деде	P54	член спортивной команды	Атлетико Минейро	0	0	1996-01-01	1998-01-01	0
1928	дневник	Q3706796	Дневники	P577	дата публикации	0	0	1928-01-01	0	0	0
[1923, 1925]	двое	Q19151134	Двое	P571	дата основания/создания/возникновения	0	0	1924-01-01	0	0	0
[1965, 1970]	двое	Q4155789	Двое	P577	дата публикации	0	0	1965-01-01	0	0	0
[1976, 1991]	доверие	Q2545805	Доверие	P577	дата публикации	0	0	1990-01-01	0	0	0
[1976, 1991]	доверие	Q7489325	Доверие	P577	дата публикации	0	0	1976-01-01	0	0	0
1997	доллар	Q31015	гонконгский доллар	P131	административно-территориальная единица	Гонконг	0	0	1997-07-01	0	0
1994	доллар	Q202462	доллар Намибии	P580	дата начала	0	0	1993-09-15	0	0	0
[1990, 2006]	доллар	Q202036	суринамский доллар	P580	дата начала	0	0	2004-01-01	0	0	0
1999	доллар	Q1104069	канадский доллар	P1365	заменил	Ньюфаундлендский доллар	0	0	0	0	1949-01-01
[1996, 2006]	диалог	Q1208468	Диалог+ — Ассоциация экономистов России и Германии	P571	дата основания/создания/возникновения	0	0	1998-01-01	0	0	0
[1953, 1958]	диалог	Q4161033	Диалоги	P577	дата публикации	0	0	1957-01-01	0	0	0
[1999, 2001]	дар	Q246711	Дар	P577	дата публикации	0	0	2000-01-01	0	0	0
[1991, 2002]	диссертация	Q1636502	Диссертация	P577	дата публикации	0	0	1996-01-01	0	0	0
[2007, 2009]	дышать	Q3400887	Дыши	P577	дата публикации	0	0	2007-01-01	0	0	0
[2006, 2009]	двенадцать	Q9213173	Двенадцать	P577	дата публикации	0	0	2006-01-01	0	0	0
1947	делить	Q1353	Дели	P131	административно-территориальная единица	Индия	0	0	1947-08-15	0	0
[1943, 1949]	делить	Q1353	Дели	P31	это частный случай понятия	город-миллионер	0	0	1948-01-01	0	0
1947	делить	Q1353	Дели	P131	административно-территориальная единица	Британская Индия	0	0	1857-01-01	1947-08-14	0
[2006, 2009]	дорожный	Q1246126	Дорожное	P131	административно-территориальная единица	Новомосковское сельское поселение	0	0	2008-06-30	2014-01-01	0
[1956, 1964]	дорожный	Q16966199	Дорожное	P576	дата прекращения существования	0	0	1960-01-01	0	0	0
[1986, 2006]	донской	Q29350430	Донское	P131	административно-территориальная единица	Шимолинский сельсовет	0	0	2003-12-01	0	0
[1986, 2006]	донской	Q19888400	Донское	P131	административно-территориальная единица	Андреапольское сельское поселение	0	0	2005-01-01	0	0
1950	дуб	Q43508766	Дуб	P571	дата основания/создания/возникновения	0	0	1900-01-01	0	0	0
1996	дека	Q659634	Деку	P54	член спортивной команды	Коринтианс	0	0	1996-01-01	1997-01-01	0
[1976, 1978]	дека	Q659634	Деку	P569	дата рождения	0	0	1977-08-27	0	0	0
[1932, 1937]	днепр	Q48256	Днепр	P1376	является столицей	Днепропетровская область	0	0	1932-02-27	0	0
[1932, 1937]	днепр	Q48256	Днепр	P131	административно-территориальная единица	Днепропетровская область	0	0	1932-02-27	0	0
[2003, 2007]	днепр	Q1975915	Днепр	P571	дата основания/создания/возникновения	0	0	2004-01-01	0	0	0
[1932, 1937]	днепр	Q48256	Днепр	P131	административно-территориальная единица	Украинская Советская Социалистическая Республика	0	0	1930-09-16	1932-02-26	0
1943	днепр	Q30897409	Днепр	P576	дата прекращения существования	0	0	1943-12-01	0	0	0
1943	днепр	Q30897409	Днепр	P571	дата основания/создания/возникновения	0	0	1943-01-01	0	0	0
[1994, 2007]	дагестан	Q5118	Дагестан	P361	часть от	Южный федеральный округ	0	0	2000-05-13	2010-01-19	0
[1994, 2007]	дагестан	Q5118	Дагестан	P6	глава правительства	Магомедали Магомедович Магомедов	0	0	1991-05-13	2006-02-20	0
1945	дань	Q719168	Дани	P569	дата рождения	0	0	1943-01-28	0	0	0
1945	дань	Q548211	Дани	P569	дата рождения	0	0	1944-10-01	0	0	0
[1984, 1985]	депрессия	Q4340209	депрессия	P2176	лекарство, используемое для лечения	имипрамин	0	0	1984-05-21	0	0
[1956, 1960]	давид	Q18228527	Давид	P569	дата рождения	0	0	1958-08-02	0	0	0
2002	доцент	Q58212168	Вуттичай Капикран	P569	дата рождения	0	0	1952-09-16	0	0	0
[1955, 1962]	доцент	Q31350956	Прадит Ванрат	P569	дата рождения	0	0	1958-07-11	0	0	0
[1955, 1962]	доцент	Q57629462	Пацак Ванданг	P569	дата рождения	0	0	1958-04-15	0	0	0
1936	добролюбов	Q311459	Николай Александрович Добролюбов	P569	дата рождения	0	0	1836-02-05	0	0	0
[1992, 1997]	джон	Q699643	Кэнди-Кэнди	P577	дата публикации	0	0	1992-01-01	0	0	0
[1978, 1979]	джон	Q699643	Кэнди-Кэнди	P577	дата публикации	0	0	1978-01-01	0	0	0
[2005, 2006]	десятина	Q4159251	Десятины	P131	административно-территориальная единица	Серговское сельское поселение	0	0	2005-01-01	2010-01-01	0
[2000, 2009]	девчонка	Q4156493	Девчонки	P577	дата публикации	0	0	2005-01-01	0	0	0
[1979, 1986]	девчонка	Q6025672	Девчонка	P580	дата начала	0	0	1985-12-17	0	0	0
1926	дмитриев	Q72360	Дмитриев	P131	административно-территориальная единица	Дмитриевский уезд	0	0	1802-01-01	1924-05-11	0
1926	дмитриев	Q72360	Дмитриев	P131	административно-территориальная единица	Льговский уезд	0	0	1924-05-12	1928-05-13	0
1929	дмитриев	Q72360	Дмитриев	P131	административно-территориальная единица	Дмитриевский район	0	0	1928-05-14	2004-10-20	0
