Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1960, 1961]	амбарцумян в	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль Кэтрин Брюс	0	0	0	0	1960-01-01
[1978, 1983]	амбарцумян в	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	орден Ленина	0	0	0	0	1978-09-15
[1978, 1983]	амбарцумян в	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1978-09-15
[1960, 1961]	амбарцумян в	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль «За трудовую доблесть»	0	0	0	0	1960-09-26
[1960, 1961]	амбарцумян в	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	золотая медаль Королевского астрономического общества	0	0	0	0	1960-01-01
[1972, 1973]	амбарцумян в	Q2443793	Вячеслав Миранович Амбарцумян	P54	член спортивной команды	Торпедо	0	0	1972-01-01	1972-01-01	0
[1978, 1983]	амбарцумян в	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль «Серп и Молот»	0	0	0	0	1978-09-15
[1960, 1961]	амбарцумян в	Q2443793	Вячеслав Миранович Амбарцумян	P54	член спортивной команды	ЦСКА	0	0	1960-01-01	1962-01-01	0
[1946, 1954]	амбарцумян в	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	Сталинская премия 2-й степени	0	0	0	0	1946-01-01
[1946, 1954]	амбарцумян в	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	орден Трудового Красного Знамени	0	0	0	0	1953-09-19
[1946, 1954]	амбарцумян в	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	Сталинская премия 1-й степени	0	0	0	0	1950-01-01
[1970, 1975]	амбарцумян виктор	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль Котениуса	0	0	0	0	1974-01-01
[1977, 1979]	амбарцумян виктор	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль «Серп и Молот»	0	0	0	0	1978-09-15
[1977, 1979]	амбарцумян виктор	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1978-09-15
[1970, 1975]	амбарцумян виктор	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	орден Ленина	0	0	0	0	1974-01-01
[1977, 1979]	амбарцумян виктор	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	орден Ленина	0	0	0	0	1978-09-15
[1970, 1975]	амбарцумян виктор	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль Гельмгольца	0	0	0	0	1971-01-01
[1970, 1975]	амбарцумян виктор	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	Большая золотая медаль имени М. В. Ломоносова	0	0	0	0	1971-01-01
[1969, 1973]	амбарцумян м	Q2443793	Вячеслав Миранович Амбарцумян	P54	член спортивной команды	Торпедо	0	0	1972-01-01	1972-01-01	0
[1961, 1962]	амбарцумян м	Q2443793	Вячеслав Миранович Амбарцумян	P54	член спортивной команды	сборная СССР по футболу	0	0	1961-01-01	1961-01-01	0
[1969, 1973]	амбарцумян м	Q2443793	Вячеслав Миранович Амбарцумян	P54	член спортивной команды	Спартак	0	0	1963-01-01	1971-01-01	0
[1963, 1966]	амвросиевич строкач	Q4444200	Строкач, Тимофей Амвросиевич	P570	дата смерти	0	0	1963-08-15	0	0	0
[1989, 1993]	амвросиевич шеварднадзе	Q151929	Эдуард Амвросиевич Шеварднадзе	P39	занимаемая должность	Министерство иностранных дел СССР	0	0	1991-11-19	1991-12-25	0
[1989, 1993]	амвросиевич шеварднадзе	Q151929	Эдуард Амвросиевич Шеварднадзе	P39	занимаемая должность	Министерство иностранных дел СССР	0	0	1985-07-02	1991-01-15	0
[1999, 2003]	амвросиевич шеварднадзе	Q151929	Эдуард Амвросиевич Шеварднадзе	P166	полученные награды	Большой крест в специальном исполнении ордена «За заслуги перед Федеративной Республикой Германия»	0	0	0	0	1999-01-01
[1985, 1993]	амгинский район	Q694932	Амгинский улус	P131	административно-территориальная единица	Якутия	0	0	1990-09-27	0	0
[1959, 1961]	амдерминский район	Q4064111	Амдерминский район	P576	дата прекращения существования	0	0	1959-01-01	0	0	0
[2002, 2009]	амели нотомба	Q168040	Амели Нотомб	P166	полученные награды	командор ордена Короны	0	0	0	0	2008-01-01
[2002, 2009]	амели нотомба	Q168040	Амели Нотомб	P166	полученные награды	Большая премия Жана Жионо	0	0	0	0	2008-01-01
[2002, 2009]	амели нотомба	Q168040	Амели Нотомб	P166	полученные награды	премия Флоры	0	0	0	0	2007-01-01
[1960, 1961]	амелин г	Q4064126	Амелин, Григорий Григорьевич	P569	дата рождения	0	0	1960-10-05	0	0	0
[1936, 1939]	амелия эрхарт	Q3355	Амелия Эрхарт	P746	дата исчезновения	0	0	1937-07-02	0	0	0
[2003, 2005]	амельченко а	Q587985	Антон Демьянович Амельченко	P54	член спортивной команды	Гомель	0	0	2004-01-01	2005-01-01	0
[1962, 1965]	америка америка	Q1217057	Америка, Америка	P577	дата публикации	0	0	1963-01-01	0	0	0
[1974, 1978]	америка в	Q880236	Эммануэль в Америке	P577	дата публикации	0	0	1976-01-01	0	0	0
[2001, 2003]	америка в	Q1536722	В Америке	P577	дата публикации	0	0	2002-09-12	0	0	0
[1960, 1964]	америка государство	Q30	США	P463	участник организации или клуба	Международная ассоциация развития	0	0	1960-09-24	0	0
[1960, 1964]	америка государство	Q30	США	P6	глава правительства	Дуайт Дэвид Эйзенхауэр	0	0	1953-01-20	1961-01-20	0
[1960, 1964]	америка государство	Q30	США	P6	глава правительства	Линдон Джонсон	0	0	1963-11-22	1969-01-20	0
[2001, 2002]	америка государство	Q30	США	P6	глава правительства	Джордж Уокер Буш	0	0	2001-01-20	2009-01-20	0
[1960, 1964]	америка государство	Q30	США	P6	глава правительства	Джон Фицджеральд Кеннеди	0	0	1961-01-20	1963-11-22	0
[2001, 2002]	америка государство	Q30	США	P6	глава правительства	Билл Клинтон	0	0	1993-01-20	2001-01-20	0
[1998, 2001]	америка русский	Q24555181	Русская Америка	P571	дата основания/создания/возникновения	0	0	1999-01-01	0	0	0
[1926, 1931]	америка соединять	Q30	США	P6	глава правительства	Герберт Гувер	0	0	1929-03-04	1933-03-04	0
[1985, 1988]	америка соединять	Q30	США	P463	участник организации или клуба	Missile Technology Control Regime	0	0	1987-01-01	0	0
[1926, 1931]	америка соединять	Q30	США	P6	глава правительства	Кулидж, Джон Калвин	0	0	1923-08-02	1929-03-04	0
[1961, 1962]	америка соединять	Q30	США	P6	глава правительства	Дуайт Дэвид Эйзенхауэр	0	0	1953-01-20	1961-01-20	0
[1949, 1950]	америка соединять	Q30	США	P463	участник организации или клуба	Организация Североатлантического договора	0	0	1949-04-04	0	0
[1985, 1988]	америка соединять	Q30	США	P463	участник организации или клуба	Австралийская группа	0	0	1985-01-01	0	0
[1961, 1962]	америка соединять	Q30	США	P6	глава правительства	Джон Фицджеральд Кеннеди	0	0	1961-01-20	1963-11-22	0
[1988, 1991]	америка фильм	Q406785	Эйр Америка	P577	дата публикации	0	0	1990-08-10	0	0	0
[2001, 2002]	америка фильм	Q1217057	Америка, Америка	P166	полученные награды	Национальный реестр фильмов США	0	0	0	0	2001-01-01
[1988, 1993]	американец я	Q642516	Я — американец	P577	дата публикации	0	0	1992-01-01	0	0	0
[1927, 1937]	американский академия	Q212329	Академия кинематографических искусств и наук	P571	дата основания/создания/возникновения	0	0	1927-01-01	0	0	0
[1923, 1925]	американский ассоциация	Q465750	Американская мотоциклетная ассоциация	P571	дата основания/создания/возникновения	0	0	1924-01-01	0	0	0
[1971, 1977]	американский ассоциация	Q463486	Американская баскетбольная ассоциация	P576	дата прекращения существования	0	0	1976-01-01	0	0	0
[1956, 1964]	американский балет	Q463443	Американский театр балета	P571	дата основания/создания/возникновения	0	0	1956-01-01	0	0	0
[1955, 1958]	американский балетный	Q463443	Американский театр балета	P571	дата основания/создания/возникновения	0	0	1956-01-01	0	0	0
[2002, 2003]	американский бог	Q430514	Американские боги	P166	полученные награды	премия «Локус» за лучший роман фэнтези	0	0	0	0	2002-01-01
[2002, 2003]	американский бог	Q430514	Американские боги	P166	полученные награды	премия «Хьюго» за лучший роман	0	0	0	0	2002-01-01
[2002, 2003]	американский бог	Q430514	Американские боги	P166	полученные награды	премия «Небьюла» за лучший роман	0	0	0	0	2002-01-01
[1986, 1998]	американский горка	Q2092528	Американские горки	P577	дата публикации	0	0	1997-10-31	0	0	0
[1995, 1997]	американский граффити	Q375855	Американские граффити	P166	полученные награды	Национальный реестр фильмов США	0	0	0	0	1995-01-01
[1994, 1998]	американский девушка	Q4064191	Американская девушка	P582	дата окончания	0	0	1995-03-15	0	0	0
[1994, 1998]	американский девушка	Q4064191	Американская девушка	P580	дата начала	0	0	1994-09-14	0	0	0
[1995, 1999]	американский дочь	Q4064188	Американская дочь	P577	дата публикации	0	0	1995-01-01	0	0	0
[1955, 1968]	американский институт	Q465230	Американский институт физики	P5460	присуждает учёную степень	премия Дэнни Хайнемана в области математической физики	0	0	1959-01-01	0	0
[1955, 1968]	американский институт	Q207460	Американский институт киноискусства	P571	дата основания/создания/возникновения	0	0	1965-01-01	0	0	0
[2005, 2006]	американский институт	Q465230	Американский институт физики	P5460	присуждает учёную степень	Премия Абрахама Пайса в области истории физики	0	0	2005-01-01	0	0
[1997, 1999]	американский история	Q208572	Американская история Икс	P577	дата публикации	0	0	1998-01-01	0	0	0
[2001, 2004]	американский киноакадемия	Q19020	Оскар	P276	местонахождение	Долби	0	0	2002-01-01	0	0
[1972, 1977]	американский ночь	Q909816	Американская ночь	P577	дата публикации	0	0	1973-01-01	0	0	0
[1963, 1973]	американский партия	Q465904	Американская нацистская партия	P488	руководитель	Коэл, Мэтт	0	0	0	0	1967-01-01
[2000, 2004]	американский пирог	Q466423	Американский пирог: Свадьба	P577	дата публикации	0	0	2003-09-05	0	0	0
